order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-101639,2026-03-22,South,Hyderabad,Noise-Cancelling Headphones,Electronics,1,9326,9326,CUST-36923,Website
UK-2026-100124,2026-01-11,South,Chennai,Eau de Parfum 100ml,Beauty,1,1950,1950,CUST-36117,App
UK-2026-102438,2026-04-19,South,Kochi,Silk Saree,Fashion,1,3596,3596,CUST-78564,Website
UK-2026-102640,2026-04-26,South,Bengaluru,Silk Saree,Fashion,2,3380,6760,CUST-12218,Website
UK-2026-100631,2026-01-03,East,Patna,Modern Wall Clock,Home & Kitchen,1,767,767,CUST-86433,Website
UK-2026-101032,2026-02-19,West,Mumbai,Bluetooth Speaker Mini,Electronics,1,1441,1441,CUST-30406,Website
UK-2026-102785,2026-04-06,South,Chennai,Wireless Earbuds Pro,Electronics,1,3021,3021,CUST-84408,Website
UK-2026-102450,2026-04-03,South,Chennai,Dinner Set 24pc,Home & Kitchen,1,2551,2551,CUST-89116,App
UK-2026-101681,2026-03-05,West,Mumbai,Cotton Kurta Set,Fashion,1,1322,1322,CUST-53622,Website
UK-2026-104492,2026-06-17,North,Noida,Mirrorless Camera Lite,Electronics,1,29626,29626,CUST-58481,App
UK-2026-104824,2026-06-27,South,Kochi,Adjustable Dumbbells 15kg,Sports,1,5101,5101,CUST-21716,Website
UK-2026-102606,2026-04-23,South,Bengaluru,Non-Stick Cookware Set,Home & Kitchen,1,2908,2908,CUST-35929,Website
UK-2026-103573,15-05-26,South,Hyderabad,Bluetooth Speaker Mini,Electronics,1,1490,1490,CUST-79226,Marketplace
UK-2026-104406,2026-06-12,North,Noida,Gym Gloves,Sports,1,513,513,CUST-45736,Marketplace
UK-2026-103878,2026-05-09,West,Surat,Cricket Bat English Willow,Sports,3,9424,28272,CUST-15713,Website
UK-2026-104962,2026-06-26,Central,Nagpur,Beard Grooming Kit,Beauty,1,968,968,CUST-47914,Website
UK-2026-101493,2026-03-11,North,Gurugram,Running Sneakers,Fashion,1,2694,2694,CUST-30097,App
UK-2026-102828,2026-04-24,South,Hyderabad,Matte Lipstick Set,Beauty,1,869,869,CUST-83743,App
UK-2026-102865,2026-04-05,North,Chandigarh,43-inch Smart TV,Electronics,1,25093,25093,CUST-94877,App
UK-2026-100035,2026-01-23,East,Guwahati,Matte Lipstick Set,Beauty,3,943,"2,829.00",CUST-58863,App
UK-2026-100989,2026-02-24,East,Guwahati,Non-Stick Cookware Set,Home & Kitchen,2,3013,6026,CUST-39399,App
UK-2026-100094,2026-01-07,South,Kochi,Adjustable Dumbbells 15kg,Sports,1,4809,4809,CUST-40867,App
UK-2026-103747,2026-05-02,West,Surat,Cotton Kurta Set,Fashion,1,1313,1313,CUST-77205,Website
UK-2026-102997,2026-04-15,East,Kolkata,Cricket Bat English Willow,Sports,2,9438,18876,CUST-13003,App
UK-2026-102059,2026-03-13,East,Guwahati,Dinner Set 24pc,Home & Kitchen,1,2454,2454,CUST-81478,Marketplace
UK-2026-102074,2026-03-12,South,Kochi,Matte Lipstick Set,Beauty,2,881,1762,CUST-97852,Website
UK-2026-104575,2026-06-19,South,Chennai,Gym Gloves,Sports,1,506,506,CUST-58389,Website
UK-2026-101277,2026-02-03,South,Chennai,Ultrabook Air 14,Electronics,2,28611,57222,CUST-70398,App
UK-2026-101065,2026-02-15,East,Patna,Ethnic Dupatta,Fashion,1,496,496,CUST-11236,Marketplace
UK-2026-101483,2026-03-31,West,Surat,Noise-Cancelling Headphones,Electronics,1,9201,9201,CUST-21527,Website
UK-2026-100990,2026-02-04,South,Hyderabad,Electric Kettle 1.5L,Home & Kitchen,1,1046,1046,CUST-13341,App
UK-2026-100047,2026-01-01,South,Hyderabad,Sunscreen SPF50,Beauty,1,528,528,CUST-95069,Website
UK-2026-101286,2026-02-17,North,Gurugram,Face Wash Combo,Beauty,3,454,1362,CUST-32885,App
